method,buffer_m,num_boreholes,num_total_tokens,num_valid_tokens,num_eval_tokens,accuracy,kappa,nll,brier,ece,mean_confidence,mean_total_uncertainty,mean_aleatoric_uncertainty,mean_epistemic_uncertainty,mean_total_uncertainty_correct,mean_total_uncertainty_error,mean_epistemic_uncertainty_correct,mean_epistemic_uncertainty_error,error_auroc_total_uncertainty,error_auprc_total_uncertainty,error_auroc_epistemic,error_auprc_epistemic,accuracy_at_100pct_coverage,risk_at_100pct_coverage,accuracy_at_95pct_coverage,risk_at_95pct_coverage,accuracy_at_90pct_coverage,risk_at_90pct_coverage,accuracy_at_80pct_coverage,risk_at_80pct_coverage,accuracy_at_70pct_coverage,risk_at_70pct_coverage,accuracy_at_50pct_coverage,risk_at_50pct_coverage,aurc,space,error_auroc_confidence_complement,error_auprc_confidence_complement,error_auroc_predictive_entropy,error_auprc_predictive_entropy,error_auroc_expected_within_view_entropy,error_auprc_expected_within_view_entropy,error_auroc_between_view_mi,error_auprc_between_view_mi,error_auroc_support_distance,error_auprc_support_distance,support_distance_spearman_entropy,support_distance_spearman_mi
subsample_ensemble,100,95.0,4560.0,1840.0,1840.0,0.6945652173913044,0.5916126734030882,0.8525012954375639,0.4400887127176603,0.09869348508832249,0.7887767443676358,0.5318678627646042,0.47030323270085755,0.061564630063746656,0.463552524133823,0.6872184015015054,0.05031603606270566,0.08714417300561564,0.6970731068896574,0.4669492558012816,0.6835594428572225,0.4660167414538978,0.6945652173913044,0.3054347826086956,0.7082379862700229,0.2917620137299771,0.7216183574879227,0.2783816425120773,0.7404891304347826,0.2595108695652174,0.7670807453416149,0.23291925465838514,0.8228260869565217,0.1771739130434783,0.17899514756767015,,,,,,,,,,,,,
subsample_ensemble,150,95.0,4560.0,1840.0,1840.0,0.6478260869565218,0.5277394455121147,0.9510726663174908,0.5031362369073207,0.11734145899181783,0.7651675459483396,0.5840889681819017,0.4934833245432895,0.09060564368315362,0.5240093461837895,0.6946058037092933,0.0851112706649223,0.10071257676607293,0.6548841556881266,0.4915062550221784,0.5780822769077802,0.39631632675676864,0.6478260869565218,0.3521739130434782,0.6613272311212814,0.33867276887871856,0.6702898550724637,0.32971014492753625,0.6949728260869565,0.30502717391304346,0.7104037267080745,0.2895962732919255,0.7543478260869565,0.2456521739130435,0.2391267129597044,,,,,,,,,,,,,
subsample_ensemble,200,95.0,4560.0,1840.0,1840.0,0.47554347826086957,0.29592544010607913,1.6576110185901545,0.7757930022497185,0.25340880207393485,0.723078858755205,0.6802503516907682,0.5387211877559109,0.14152916394295575,0.6631221518175943,0.6957811028711073,0.14845682629517146,0.13524760481529902,0.5214590673575129,0.5506609615172313,0.4877714285714285,0.4937700984834802,0.47554347826086957,0.5244565217391304,0.4805491990846682,0.5194508009153318,0.47946859903381644,0.5205314009661836,0.48165760869565216,0.5183423913043479,0.48680124223602483,0.5131987577639752,0.4880434782608696,0.5119565217391304,0.4826351948346018,,,,,,,,,,,,,
subsample_ensemble,250,95.0,4560.0,1840.0,1840.0,0.31467391304347825,0.08086774539976316,2.965754943372701,1.0187261450130187,0.4004219802663378,0.715095893309816,0.7101665966637919,0.5173930156672293,0.1927735809560703,0.6892511436911959,0.7197701234450234,0.19090137378487973,0.1936332224724219,0.523720105900545,0.7251891630070668,0.4972696231710173,0.6984643591086985,0.31467391304347825,0.6853260869565218,0.3220823798627002,0.6779176201372998,0.3248792270531401,0.6751207729468599,0.3389945652173913,0.6610054347826086,0.3408385093167702,0.6591614906832298,0.3217391304347826,0.6782608695652175,0.6798269175915289,,,,,,,,,,,,,
tabicl_encoder_input,0,95.0,1840.0,1840.0,1840.0,0.7983695652173913,0.7296585525422131,0.6749836404768108,0.3009867531695446,0.0645741272059124,0.8562519744864606,0.3638717721913735,0.3551805604766896,0.0086912117146839,0.3066875062121638,0.5902968037909937,0.0075388019134087,0.0132542575315933,0.773263804153769,0.4012493030551758,0.7091737783005106,0.3193569610703592,0.7983695652173913,0.2016304347826086,0.8112128146453089,0.188787185354691,0.8278985507246377,0.1721014492753623,0.8566576086956522,0.1433423913043477,0.8850931677018633,0.1149068322981367,0.9391304347826088,0.0608695652173912,0.0848895318166887,encoder_input,0.772443619162604,0.4028377396057439,0.773263804153769,0.4012493030551758,0.7743005033036757,0.4030036842853809,0.7091737783005106,0.3193569610703592,0.5289917963152226,0.2549887187034584,0.1424074054739552,0.0591216746604354
tabicl_encoder_input,50,95.0,1840.0,1840.0,1840.0,0.7635869565217391,0.6818264212866233,0.7057533525793543,0.331701028853025,0.0690437067803983,0.8326306633021374,0.4245670255447673,0.41342496997383,0.0111420555709373,0.3548665418104422,0.6496915764567831,0.0094306602468354,0.0166696657556802,0.7809056325929561,0.4725013153779095,0.7131214463942406,0.3775886642742151,0.7635869565217391,0.2364130434782608,0.7803203661327232,0.2196796338672768,0.7946859903381642,0.2053140096618357,0.8254076086956522,0.1745923913043477,0.8571428571428571,0.1428571428571429,0.9260869565217392,0.0739130434782608,0.0956489524494651,encoder_input,0.7848128604736778,0.4927450406566863,0.7809056325929561,0.4725013153779095,0.7817826318157647,0.4711421827565196,0.7131214463942406,0.3775886642742151,0.511398535607641,0.2875319016401041,0.0505425165467797,-0.0135412830485317
tabicl_encoder_input,100,95.0,1840.0,1840.0,1840.0,0.6994565217391304,0.5930134888877867,0.9389550432657056,0.443383198145834,0.0875059380963587,0.7851392188796507,0.5387413696592825,0.5247120454740054,0.014029324185277,0.4809550329349645,0.6732278350556611,0.012452389529893,0.0176993330487114,0.6778003993193866,0.4497900277457951,0.6333722536254183,0.3926066271574184,0.6994565217391304,0.3005434782608696,0.709954233409611,0.290045766590389,0.7192028985507246,0.2807971014492754,0.7459239130434783,0.2540760869565217,0.7639751552795031,0.2360248447204969,0.8065217391304348,0.1934782608695652,0.1887572264371009,encoder_input,0.6835948861265317,0.4678564251766665,0.6778003993193866,0.4497900277457951,0.678767083830375,0.4484816474262114,0.6333722536254183,0.3926066271574184,0.4861566000806507,0.3152697882877677,-0.0863088532904529,-0.1131659593164022
tabicl_encoder_input,150,95.0,1840.0,1840.0,1840.0,0.6489130434782608,0.5214922690953827,1.0264434623020031,0.4995765601805392,0.0934953231849996,0.73658890125652,0.6541129369819972,0.6371154265897798,0.0169975103922173,0.6067189483967829,0.7417111140264955,0.0158132995362282,0.0191862840176833,0.6361762372232681,0.4656932428284576,0.5856695759499251,0.4080910081882337,0.6489130434782608,0.3510869565217391,0.6578947368421053,0.3421052631578947,0.6672705314009661,0.3327294685990338,0.6875,0.3125,0.7010869565217391,0.2989130434782608,0.7521739130434782,0.2478260869565217,0.2593184586300278,encoder_input,0.6438215328448227,0.4762257588552407,0.6361762372232681,0.4656932428284576,0.6366338918534882,0.4681846166399362,0.5856695759499251,0.4080910081882337,0.4617540748116226,0.3207217815555517,-0.016751510685727,-0.1365785454675883
tabicl_encoder_input,200,95.0,1840.0,1840.0,1840.0,0.5782608695652174,0.4316276536966653,1.2681823841891464,0.6010587532599072,0.1171482869099178,0.6608902831638064,0.8413255462067493,0.8228508371860946,0.0184747090206546,0.8233723820501198,0.8659417403596539,0.0172215457680822,0.0201929637896457,0.5407296430509263,0.4527170241094851,0.5540171304550034,0.4823927836664127,0.5782608695652174,0.4217391304347826,0.5812356979405034,0.4187643020594965,0.5857487922705314,0.4142512077294685,0.592391304347826,0.4076086956521739,0.593944099378882,0.4060559006211179,0.5945652173913043,0.4054347826086957,0.3865858038990402,encoder_input,0.5561124137663747,0.4767718242191,0.5407296430509263,0.4527170241094851,0.5382879718626462,0.4501777784405644,0.5540171304550034,0.4823927836664127,0.4348548562126967,0.4143673845173158,0.3083244623194736,-0.0668158535480787
tabicl_encoder_input,250,95.0,1840.0,1840.0,1840.0,0.3885869565217391,0.1816810406170836,2.025304437442168,0.833814747604525,0.2427353391641783,0.6194379479057849,0.9632244297258988,0.9462744594628878,0.0169499702630109,0.9843085969692896,0.9498242701000992,0.0177330192672923,0.0164522991180677,0.4752509712509712,0.5778351135836263,0.4633435897435897,0.5904034316023051,0.3885869565217391,0.6114130434782609,0.3781464530892448,0.6218535469107551,0.3713768115942029,0.6286231884057971,0.3716032608695652,0.6283967391304348,0.3757763975155279,0.6242236024844721,0.3760869565217391,0.6239130434782609,0.6319362336650083,encoder_input,0.5164767676767676,0.6161553580761119,0.4752509712509712,0.5778351135836263,0.4756214452214452,0.5789043552370716,0.4633435897435897,0.5904034316023051,0.4786685314685314,0.6361758681437105,0.251073650482529,-0.0027746467624629
