embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
minilm-en,Embeddings + XYZ + depth: PCA 32,TabICLv2: encoder input,encoder_input,,0.6597826086956522,0.5561647150486071,0.6285653004616009,0.6174279307967219,0.5920530446179029,0.4659345466861342,0.4272384645519758,0.3903534319076724,1.2557807903764144,1.147364719984213,0.2453129732253808,0.1252020120580428,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\full_pca032\tabicl\summary.csv
minilm-en,Embeddings + XYZ + depth: PCA 32,TabICLv2: hidden,hidden,,0.6543478260869565,0.5514666905835373,0.6860634885810402,0.6953929772874486,0.6475075220961574,0.505582394707973,0.5231895782143857,0.4740622253383769,1.5136302262806127,1.3715007777085118,0.2131695819318918,0.192942622488865,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\full_pca032\tabicl\summary.csv
minilm-en,Embeddings + XYZ + depth: PCA 32,TabICLv2: model input,model_input,,0.5978260869565217,0.4766452561174965,0.6286265356265356,0.6301081081081081,0.5854447174447175,0.5122378021825175,0.5157426858002154,0.453836152450914,1.2823872187464815,1.1284574601482187,0.2881768434908691,0.1553111428786634,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\full_pca032\tabicl\summary.csv
mpnet,Embeddings + XYZ + depth: PCA 32,Deep Ensemble,classification_head,11.0,0.6755434782608696,0.5469597967330442,0.675078260705512,0.6753390470574754,0.6363945705384001,0.45801676231724586,0.4934573985969662,0.4406015674119485,1.5208737243189578,1.3579679799631243,0.2245291743398498,0.1367732147969629,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\mpnet\full_pca032\deep_ensemble\fold_metrics.csv
mpnet,Embeddings + XYZ + depth: PCA 32,LLLA,classification_head,11.0,0.6597826086956522,0.5273307271411878,0.6860311804243359,0.6790710587017657,0.6268843813853632,0.5267324995939979,0.5477237031345914,0.4963915023429227,1.6099227056991186,1.459042115512744,0.2359659907324765,0.1319759576378956,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\mpnet\full_pca032\laplace\fold_metrics.csv
mpnet,Embeddings + XYZ + depth: PCA 32,MC dropout,classification_head,11.0,0.675,0.5455959948134993,0.682512562002165,0.6838342548438324,0.6651623175528487,0.46927196987799713,0.5072152211743094,0.4719871252545336,1.5606622189978752,1.4522680777062575,0.217380400855202,0.1209344502214504,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\mpnet\full_pca032\mc_dropout\fold_metrics.csv
mpnet,Embeddings + XYZ + depth: PCA 32,Subsample Ensemble,classification_head,11.0,0.6760869565217391,0.5470540643802633,0.6966256824704892,0.7046024779856077,0.6725019866447981,0.5383186476001958,0.5535261703666811,0.5193802273849076,1.708872740729351,1.6034557355507215,0.2092661943137183,0.1192466457090947,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\mpnet\full_pca032\subsample_ensemble\fold_metrics.csv
mpnet,Embeddings + XYZ + depth: PCA 32,TabICLv2: encoder input,encoder_input,,0.6418478260869566,0.5316485618363258,0.6548011702744132,0.6531552309647312,0.638605178862593,0.49453191818088893,0.4681954642411014,0.4411916964981091,1.3072528895350937,1.2318554196608813,0.2346679552677905,0.1327843868593444,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\mpnet\full_pca032\tabicl\summary.csv
mpnet,Embeddings + XYZ + depth: PCA 32,TabICLv2: hidden,hidden,,0.6353260869565217,0.529961955791358,0.6604036976079777,0.6724766349778619,0.6242639269045474,0.49579035511592773,0.5162053000529732,0.4646661685244107,1.4155257110245463,1.274196348859785,0.238202811358575,0.1977773233551565,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\mpnet\full_pca032\tabicl\summary.csv
mpnet,Embeddings + XYZ + depth: PCA 32,TabICLv2: model input,model_input,,0.5864130434782608,0.4555656345053125,0.6585781110898664,0.6516022647143715,0.6413637974520137,0.5555122299879083,0.5466049968238599,0.5335669910675307,1.321620491663472,1.2900962727519796,0.2851217442985999,0.1679175548427235,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\mpnet\full_pca032\tabicl\summary.csv
bge-base,Embeddings + XYZ + depth: PCA 64,Deep Ensemble,classification_head,11.0,0.6418478260869566,0.5012779519094523,0.7010994771797775,0.6969353009606365,0.6741584164974902,0.5380872932789815,0.557094235596039,0.5113340963359938,1.5554679719221727,1.4277006635177978,0.2411051129635833,0.1565737091004848,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-base\full_pca064\deep_ensemble\fold_metrics.csv
bge-base,Embeddings + XYZ + depth: PCA 64,LLLA,classification_head,11.0,0.6298913043478261,0.49068739819969,0.682022453403676,0.6754027817195156,0.6073711462513791,0.5366001632885369,0.5437601669554962,0.4957875802308228,1.4691904657828387,1.3395729040010487,0.2580982382011839,0.1332758112284152,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-base\full_pca064\laplace\fold_metrics.csv
bge-base,Embeddings + XYZ + depth: PCA 64,MC dropout,classification_head,11.0,0.6239130434782608,0.4836365149850622,0.6950439064671406,0.6931050101585728,0.6604141634726761,0.548123567676068,0.5776112326641547,0.5311854377484237,1.5358448961012203,1.412400585920664,0.2575355838762737,0.1388457567309555,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-base\full_pca064\mc_dropout\fold_metrics.csv
bge-base,Embeddings + XYZ + depth: PCA 64,Subsample Ensemble,classification_head,11.0,0.6668478260869565,0.5334620038444042,0.699545702924014,0.7010427223717411,0.6838257560968775,0.5208501152096102,0.5502215580565178,0.5310154051873418,1.651562262355616,1.5939124723404712,0.2187052931358539,0.1242597758931957,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\bge-base\full_pca064\subsample_ensemble\fold_metrics.csv
