embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
e5-base,Embeddings + depth: PCA 8,Deep Ensemble,classification_head,95.0,0.6081521739130434,0.4257440500826117,0.6565823705780498,0.6494753483747745,0.5745667283547069,0.5267922731135315,0.5963795438679393,0.5552568001035267,1.5219672131997342,1.417021514827308,0.2917338104821964,0.275343632892422,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-base\embeddings_depth_pca008\deep_ensemble\fold_metrics.csv
e5-base,Embeddings + depth: PCA 8,LLLA,classification_head,95.0,0.6152173913043478,0.4300544690927214,0.6495066479008205,0.6519661619982481,0.5369305977292785,0.5212074346915738,0.6076109123467449,0.526236472395218,1.579101806098885,1.3676202107446342,0.2831255275856448,0.2788583184227995,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-base\embeddings_depth_pca008\laplace\fold_metrics.csv
e5-base,Embeddings + depth: PCA 8,MC dropout,classification_head,95.0,0.6125,0.4285909242246632,0.6493564191943013,0.6434440657420794,0.6080859696263657,0.5108724757355885,0.6063084909495075,0.5717847035242595,1.5646670734180839,1.475573428449702,0.2907011096229154,0.2771636365224486,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-base\embeddings_depth_pca008\mc_dropout\fold_metrics.csv
e5-base,Embeddings + depth: PCA 8,Subsample Ensemble,classification_head,95.0,0.6168478260869565,0.4338302322009959,0.6507451494985472,0.6547009669145613,0.6060520332421835,0.5148522716084036,0.6061064178119803,0.568865488964858,1.5818947642185017,1.4846985811281401,0.2862340125511599,0.275516857093443,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-base\embeddings_depth_pca008\subsample_ensemble\fold_metrics.csv
e5-base,Embeddings + depth: PCA 8,TabICLv2: encoder input,encoder_input,,0.6489130434782608,0.5254952870485252,0.6560757865695869,0.6438176434287018,0.6528605359096826,0.47208664100387054,0.4575828007286755,0.5015552142406211,1.3033318163169705,1.4285783191992922,0.2469514558084895,0.1187587551344968,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-base\embeddings_depth_pca008\tabicl\summary.csv
e5-base,Embeddings + depth: PCA 8,TabICLv2: hidden,hidden,,0.6391304347826087,0.5169717748567236,0.6267928858290304,0.6268543562003115,0.6065537660847471,0.4802461735537934,0.4795014462890413,0.4500213164431628,1.3287389475479456,1.2470470214690053,0.2890502124002276,0.1785247557561783,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-base\embeddings_depth_pca008\tabicl\summary.csv
e5-base,Embeddings + depth: PCA 8,TabICLv2: model input,model_input,,0.6494565217391305,0.5250102057968926,0.628354578184295,0.6270039894910966,0.6459070416139601,0.44317828260862,0.4309151707915136,0.4435502254575726,1.2292773864440079,1.265321573398347,0.2483464257709327,0.1407989859633841,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-base\embeddings_depth_pca008\tabicl\summary.csv
e5-large,Embeddings + depth: PCA 8,Deep Ensemble,classification_head,95.0,0.5907608695652173,0.4107725944566752,0.6342578169383185,0.6592279580290502,0.5965901011201815,0.513863733069511,0.6191537041794718,0.5738249044017018,1.5129386662552828,1.4021750652046894,0.309901329631559,0.2913580864991831,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-large\embeddings_depth_pca008\deep_ensemble\fold_metrics.csv
e5-large,Embeddings + depth: PCA 8,LLLA,classification_head,95.0,0.5858695652173913,0.4094970950811865,0.6435632234282402,0.6761260942118155,0.5553272550548816,0.5311255428915659,0.6388588623453433,0.5489440701400461,1.5426513211488604,1.3255342376085102,0.2934251895017312,0.2906867874867242,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-large\embeddings_depth_pca008\laplace\fold_metrics.csv
e5-large,Embeddings + depth: PCA 8,MC dropout,classification_head,95.0,0.5815217391304348,0.4025356461500931,0.6270214831897074,0.6262880255444391,0.5670791517000581,0.5184704767147785,0.6097904152007922,0.5805511962923058,1.4571615116486465,1.3872911703608346,0.3259564884347275,0.2820129987662253,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-large\embeddings_depth_pca008\mc_dropout\fold_metrics.csv
e5-large,Embeddings + depth: PCA 8,Subsample Ensemble,classification_head,95.0,0.6,0.4217531501506515,0.638275588768116,0.6481699213408314,0.6204096362451738,0.5060432775769959,0.6107559722362627,0.5788151612544781,1.5268899305906565,1.447037903136195,0.3003421399432688,0.284502927440664,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-large\embeddings_depth_pca008\subsample_ensemble\fold_metrics.csv
e5-large,Embeddings + depth: PCA 8,TabICLv2: encoder input,encoder_input,,0.6282608695652174,0.495535794808896,0.6420531576923855,0.6264442825633865,0.6536592707258342,0.4774652634881429,0.4559525319235713,0.5059832658482657,1.2265389747651627,1.3611245747965044,0.268755359129688,0.1413459160004426,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-large\embeddings_depth_pca008\tabicl\summary.csv
e5-large,Embeddings + depth: PCA 8,TabICLv2: hidden,hidden,,0.6581521739130435,0.5419291410261079,0.647858330959317,0.639608569564367,0.6264948097658061,0.47618328681759314,0.4565395622745848,0.4403680792238587,1.3355052378143657,1.288199150670747,0.2601226922311023,0.1553904359566127,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-large\embeddings_depth_pca008\tabicl\summary.csv
e5-large,Embeddings + depth: PCA 8,TabICLv2: model input,model_input,,0.6298913043478261,0.4978371216766334,0.6587556491430787,0.6509168494284023,0.6268885907264731,0.507756551938702,0.4950462968205668,0.4831563540655202,1.3375700237148942,1.3054444808818757,0.2580640492780905,0.1365367688328027,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-large\embeddings_depth_pca008\tabicl\summary.csv
e5-mistral,Embeddings + depth: PCA 8,Deep Ensemble,classification_head,95.0,0.6021739130434782,0.4374441212603491,0.6397548381369473,0.6500932775400268,0.5862984364187006,0.5029120392080947,0.6282924743824944,0.5544692930388327,1.5793144164805868,1.3937479497150986,0.3028361959641471,0.2985110128379386,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-mistral\embeddings_depth_pca008\deep_ensemble\fold_metrics.csv
e5-mistral,Embeddings + depth: PCA 8,LLLA,classification_head,95.0,0.5978260869565217,0.4333831729978279,0.6497444717444717,0.6588591240932149,0.5426340613692473,0.5259758251007923,0.6317878137812099,0.538890096926001,1.570931861293819,1.3399429437078942,0.2925938454314485,0.2954907646159763,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-mistral\embeddings_depth_pca008\laplace\fold_metrics.csv
e5-mistral,Embeddings + depth: PCA 8,MC dropout,classification_head,95.0,0.6032608695652174,0.4421898420333495,0.6382290509687769,0.6320485722570439,0.5667782791511847,0.5123129021491231,0.6188733186750018,0.5575817363222,1.5598998717287718,1.4054114997710248,0.3122331377951186,0.2984994590768348,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\e5-mistral\embeddings_depth_pca008\mc_dropout\fold_metrics.csv
