fold_name,control,embedding_control,xyz_control,num_eval_tokens,accuracy,kappa,nll,brier,ece,mean_confidence,mean_total_uncertainty,mean_aleatoric_uncertainty,mean_epistemic_uncertainty,error_auroc_total_uncertainty,error_auprc_total_uncertainty,error_auroc_epistemic,error_auprc_epistemic,accuracy_at_100pct_coverage,risk_at_100pct_coverage,accuracy_at_95pct_coverage,risk_at_95pct_coverage,accuracy_at_90pct_coverage,risk_at_90pct_coverage,accuracy_at_80pct_coverage,risk_at_80pct_coverage,accuracy_at_70pct_coverage,risk_at_70pct_coverage,accuracy_at_50pct_coverage,risk_at_50pct_coverage,aurc,agreement_with_true_labels,predicted_class_entropy,predicted_max_class_fraction,mean_variation_ratio,method
A6,xyz_only,gaussian_full,xyz_4sigma,16.0,0.5625,0.0,0.9526277184486388,0.5881600379943848,0.3254075422883034,0.8879075050354004,0.32480588555336,0.3110727667808532,0.013733122497797,1.0,1.0,1.0,1.0,0.5625,0.4375,0.5625,0.4375,0.6,0.4,0.6923076923076923,0.3076923076923077,0.75,0.25,1.0,0.0,0.1134627091658341,0.5625,-0.0,1.0,0.1120924688875675,MC dropout
A6,embedding_and_xyz,gaussian_full,xyz_4sigma,16.0,0.5625,0.0,1.1092523336410522,0.6275522708892822,0.3459914326667785,0.9084914922714232,0.271930068731308,0.2592200636863708,0.0127099882811307,1.0,1.0,1.0,1.0,0.5625,0.4375,0.5625,0.4375,0.6,0.4,0.6923076923076923,0.3076923076923077,0.75,0.25,1.0,0.0,0.1134627091658341,0.5625,-0.0,1.0,0.0915085226297378,MC dropout
A7,real,gaussian_full,xyz_4sigma,17.0,0.8823529411764706,0.7671232876712328,0.4508363008499145,0.2388745993375778,0.1534994297167834,0.7746543288230896,0.6425501704216003,0.5878979563713074,0.0546521544456481,0.8,0.3333333333333333,0.6,0.2,0.8823529411764706,0.1176470588235294,0.8823529411764706,0.1176470588235294,0.875,0.125,0.9285714285714286,0.0714285714285714,0.9166666666666666,0.0833333333333333,1.0,0.0,0.0322848143782399,0.8823529411764706,0.6914160776171183,0.5294117647058824,0.2253457413000219,MC dropout
A7,embedding_only,gaussian_full,xyz_4sigma,17.0,0.7058823529411765,0.5277777777777778,0.6274523735046387,0.3669280409812927,0.2508400257895974,0.690708577632904,0.7194371819496155,0.6578487753868103,0.0615885332226753,0.8333333333333334,0.6644444444444444,0.65,0.399047619047619,0.7058823529411765,0.2941176470588235,0.7058823529411765,0.2941176470588235,0.75,0.25,0.7142857142857143,0.2857142857142857,0.8333333333333334,0.1666666666666666,0.8888888888888888,0.1111111111111111,0.0969938750215566,0.7058823529411765,1.205697772011519,0.4117647058823529,0.3092914644409628,MC dropout
A7,xyz_only,gaussian_full,xyz_4sigma,17.0,0.7647058823529411,0.5696202531645569,0.3634902536869049,0.2227457463741302,0.1754525216186747,0.8133841156959534,0.4855501055717468,0.4462549686431885,0.039295095950365,0.9615384615384616,0.8875,0.9615384615384616,0.8875,0.7647058823529411,0.2352941176470588,0.7647058823529411,0.2352941176470588,0.8125,0.1875,0.8571428571428571,0.1428571428571429,1.0,0.0,1.0,0.0,0.0387212124668872,0.7647058823529411,0.8938885362449964,0.6470588235294118,0.1866158913163577,MC dropout
A7,embedding_and_xyz,gaussian_full,xyz_4sigma,17.0,0.8235294117647058,0.6832298136645962,0.4031287431716919,0.2393897622823715,0.1513039119103375,0.8272090554237366,0.4818871319293976,0.4453155398368835,0.0365716181695461,0.8333333333333333,0.5138888888888888,0.9047619047619048,0.7,0.8235294117647058,0.1764705882352941,0.8235294117647058,0.1764705882352941,0.8125,0.1875,0.9285714285714286,0.0714285714285714,0.9166666666666666,0.0833333333333333,1.0,0.0,0.0489213352967678,0.8235294117647058,0.958691859325372,0.5882352941176471,0.1727908954900854,MC dropout
A8,real,gaussian_full,xyz_4sigma,13.0,0.8461538461538461,0.717391304347826,0.3261046707630157,0.193367063999176,0.1560206848841447,0.8360211253166199,0.461197555065155,0.4311860203742981,0.0300115682184696,0.9090909090909092,0.75,0.7727272727272727,0.6428571428571428,0.8461538461538461,0.1538461538461538,0.8461538461538461,0.1538461538461538,0.9166666666666666,0.0833333333333333,0.9090909090909092,0.0909090909090909,0.9,0.0999999999999999,1.0,0.0,0.0270127308588847,0.8461538461538461,0.8981370031878679,0.5384615384615384,0.1639788013238173,MC dropout
A8,embedding_only,gaussian_full,xyz_4sigma,13.0,0.9230769230769232,0.8470588235294118,0.3269741237163543,0.1814918518066406,0.194587196295078,0.8095169067382812,0.5477650165557861,0.5086016058921814,0.0391633696854114,0.5,0.1428571428571428,0.5,0.1428571428571428,0.9230769230769232,0.0769230769230768,0.9230769230769232,0.0769230769230768,0.9166666666666666,0.0833333333333333,0.9090909090909092,0.0909090909090909,0.9,0.0999999999999999,0.8571428571428571,0.1428571428571429,0.053205555128632,0.9230769230769232,0.6901856760188042,0.5384615384615384,0.1904831207715548,MC dropout
A8,xyz_only,gaussian_full,xyz_4sigma,13.0,0.8461538461538461,0.6976744186046511,0.5539854168891907,0.3309760391712188,0.2684150475722092,0.7664827704429626,0.6233922243118286,0.5753929018974304,0.0479993261396884,0.5454545454545454,0.2261904761904761,0.5,0.2111111111111111,0.8461538461538461,0.1538461538461538,0.8461538461538461,0.1538461538461538,0.8333333333333334,0.1666666666666666,0.8181818181818182,0.1818181818181817,0.8,0.1999999999999999,0.8571428571428571,0.1428571428571429,0.0954220992682531,0.8461538461538461,0.666278442414676,0.6153846153846154,0.2335172570668734,MC dropout
A8,embedding_and_xyz,gaussian_full,xyz_4sigma,13.0,0.6923076923076923,0.4090909090909091,0.5516038537025452,0.3478202819824219,0.104134935599107,0.7743688821792603,0.6177066564559937,0.574350118637085,0.0433565899729728,0.7222222222222222,0.6,0.7222222222222222,0.625,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.3076923076923077,0.75,0.25,0.7272727272727273,0.2727272727272727,0.7,0.3,0.8571428571428571,0.1428571428571429,0.1438023514946591,0.6923076923076923,0.5402041423888608,0.7692307692307693,0.2256311407456031,MC dropout
A9,real,gaussian_full,xyz_4sigma,19.0,0.7894736842105263,0.6161616161616161,0.7253795862197876,0.3910846710205078,0.2186134332104733,0.8799319863319397,0.3801044523715973,0.3607545495033264,0.0193498991429805,0.4333333333333333,0.2202380952380952,0.3833333333333333,0.2060457516339869,0.7894736842105263,0.2105263157894736,0.7894736842105263,0.2105263157894736,0.7777777777777778,0.2222222222222222,0.75,0.25,0.7857142857142857,0.2142857142857143,0.7,0.3,0.1914999064990917,0.7894736842105263,0.7659373365785205,0.6842105263157895,0.1200680042568006,MC dropout
A9,embedding_only,gaussian_full,xyz_4sigma,19.0,0.6842105263157895,0.4,0.8078996539115906,0.4478443562984466,0.2551089462481047,0.8535231351852417,0.421047180891037,0.3958326876163482,0.0252144895493984,0.717948717948718,0.5387917637917639,0.7051282051282051,0.4963675213675213,0.6842105263157895,0.3157894736842105,0.6842105263157895,0.3157894736842105,0.6666666666666666,0.3333333333333333,0.75,0.25,0.7857142857142857,0.2142857142857143,0.7,0.3,0.1575372263208339,0.6842105263157895,0.5763341277567499,0.7368421052631579,0.1464768428551523,MC dropout
A9,xyz_only,gaussian_full,xyz_4sigma,19.0,0.6842105263157895,0.4000000000000001,1.004613161087036,0.5267876386642456,0.299444063713676,0.8105295896530151,0.5027241110801697,0.4660905599594116,0.0366335213184356,0.4615384615384615,0.4576388888888889,0.4615384615384615,0.4865196078431372,0.6842105263157895,0.3157894736842105,0.6842105263157895,0.3157894736842105,0.7222222222222222,0.2777777777777778,0.6875,0.3125,0.7142857142857143,0.2857142857142857,0.7,0.3,0.3405037481031452,0.6842105263157895,0.5146531654289292,0.7894736842105263,0.189470372701946,MC dropout
A9,embedding_and_xyz,gaussian_full,xyz_4sigma,19.0,0.5789473684210527,0.1999999999999998,1.091426134109497,0.5873615741729736,0.309118324204495,0.8204625248908997,0.4701971113681793,0.4386760294437408,0.0315211378037929,0.6477272727272727,0.5800575037707391,0.6477272727272727,0.6233173076923078,0.5789473684210527,0.4210526315789473,0.5789473684210527,0.4210526315789473,0.5555555555555556,0.4444444444444444,0.625,0.375,0.6428571428571429,0.3571428571428571,0.7,0.3,0.2947124209956212,0.5789473684210527,0.4361623253853443,0.8421052631578947,0.1795374876574466,MC dropout
